Date,Close
11/14/2017,16.97
11/15/2017,17.9
11/16/2017,18.9
11/17/2017,18.75
11/20/2017,17.75
11/21/2017,18.38
11/22/2017,18.71
11/24/2017,18.28
11/27/2017,16.89
11/28/2017,16.47
11/29/2017,17.2
11/30/2017,16.41
12/4/2017,16.25
12/7/2017,16.19
12/8/2017,16.7
12/11/2017,16.61
12/12/2017,16.08
12/13/2017,15.99
12/14/2017,16.52
12/15/2017,17.03
12/18/2017,16.01
12/19/2017,16.08
12/20/2017,16.85
12/21/2017,16.67
12/22/2017,17.04
12/26/2017,17.5
12/27/2017,16.93
12/28/2017,17.69
12/29/2017,17.64
1/2/2018,18.5
1/3/2018,18.4
1/4/2018,19.15
1/5/2018,19.65
1/8/2018,19.61
1/9/2018,19.29
1/10/2018,18.55
1/11/2018,19.95
1/12/2018,20.5
1/16/2018,19.11
1/17/2018,20.48
1/18/2018,20.2
1/19/2018,20.7
1/22/2018,21.13
1/23/2018,20.4
1/24/2018,20.04
1/25/2018,20.09
1/26/2018,19.69
1/29/2018,19.5
1/30/2018,19.7
1/31/2018,19.84
2/1/2018,19.88
2/2/2018,20.49
2/5/2018,19.77
2/6/2018,19.35
2/7/2018,19.31
2/8/2018,19.36
2/9/2018,18.73
2/12/2018,18.28
2/13/2018,18.01
2/14/2018,18.15
2/15/2018,19.58
2/16/2018,19.97
2/20/2018,20.75
2/21/2018,20.16
2/22/2018,21.1
2/23/2018,21.59
2/26/2018,21.25
2/27/2018,21.23
2/28/2018,21.35
3/1/2018,18.8
3/2/2018,19.26
3/5/2018,18.9
3/6/2018,19.01
3/7/2018,19.33
3/8/2018,19.11
3/9/2018,19.54
3/12/2018,19.33
3/13/2018,19.02
3/14/2018,19.6
3/15/2018,19.2
3/16/2018,18.62
3/19/2018,18.35
3/20/2018,18.95
3/21/2018,19.05
3/22/2018,18.63
3/23/2018,19.03
3/26/2018,18.9
3/27/2018,18.75
3/29/2018,19.62
4/2/2018,19.88
4/3/2018,20.28
4/4/2018,19.65
4/5/2018,19.83
4/6/2018,19.52
4/9/2018,20.06
4/10/2018,19.79
4/11/2018,20.89
4/12/2018,23.5
4/13/2018,23.33
4/16/2018,23.06
